"areaCode","villcode","countyname","countycode","towncode","townname","villname","area_nickname"
"6300003","63000040001","臺北市","63000","63000040","中山區","正守里","中山區、松山區*"
"6300003","63000040002","臺北市","63000","63000040","中山區","正義里","中山區、松山區*"
"6300003","63000040003","臺北市","63000","63000040","中山區","正得里","中山區、松山區*"
"6300003","63000040004","臺北市","63000","63000040","中山區","民安里","中山區、松山區*"
"6300003","63000040005","臺北市","63000","63000040","中山區","康樂里","中山區、松山區*"
"6300003","63000040006","臺北市","63000","63000040","中山區","中山里","中山區、松山區*"
"6300003","63000040007","臺北市","63000","63000040","中山區","聚盛里","中山區、松山區*"
"6300003","63000040008","臺北市","63000","63000040","中山區","集英里","中山區、松山區*"
"6300003","63000040009","臺北市","63000","63000040","中山區","聚葉里","中山區、松山區*"
"6300003","63000040012","臺北市","63000","63000040","中山區","圓山里","中山區、松山區*"
"6300003","63000040011","臺北市","63000","63000040","中山區","晴光里","中山區、松山區*"
"6300003","63000040010","臺北市","63000","63000040","中山區","恆安里","中山區、松山區*"
"6300003","63000040019","臺北市","63000","63000040","中山區","新庄里","中山區、松山區*"
"6300003","63000040013","臺北市","63000","63000040","中山區","劍潭里","中山區、松山區*"
"6300003","63000040014","臺北市","63000","63000040","中山區","大直里","中山區、松山區*"
"6300003","63000040015","臺北市","63000","63000040","中山區","成功里","中山區、松山區*"
"6300003","63000040016","臺北市","63000","63000040","中山區","永安里","中山區、松山區*"
"6300003","63000040017","臺北市","63000","63000040","中山區","大佳里","中山區、松山區*"
"6300003","63000040041","臺北市","63000","63000040","中山區","金泰里","中山區、松山區*"
"6300003","63000040042","臺北市","63000","63000040","中山區","北安里","中山區、松山區*"
"6300003","63000040018","臺北市","63000","63000040","中山區","新喜里","中山區、松山區*"
"6300003","63000040020","臺北市","63000","63000040","中山區","新福里","中山區、松山區*"
"6300003","63000040021","臺北市","63000","63000040","中山區","松江里","中山區、松山區*"
"6300003","63000040022","臺北市","63000","63000040","中山區","新生里","中山區、松山區*"
"6300003","63000040023","臺北市","63000","63000040","中山區","中庄里","中山區、松山區*"
"6300003","63000040024","臺北市","63000","63000040","中山區","行政里","中山區、松山區*"
"6300003","63000040025","臺北市","63000","63000040","中山區","行仁里","中山區、松山區*"
"6300003","63000040026","臺北市","63000","63000040","中山區","行孝里","中山區、松山區*"
"6300003","63000040027","臺北市","63000","63000040","中山區","下埤里","中山區、松山區*"
"6300003","63000040028","臺北市","63000","63000040","中山區","江寧里","中山區、松山區*"
"6300003","63000040029","臺北市","63000","63000040","中山區","江山里","中山區、松山區*"
"6300003","63000040030","臺北市","63000","63000040","中山區","中吉里","中山區、松山區*"
